Term	Database	ID	Input number	Background number	P-Value	Corrected P-Value	Input	Hyperlink
RNA Polymerase II Transcription	Reactome	R-HSA-73857	69	1316	4.40E-13	2.30E-11	CLDN5|TFAP2B|GRIA2|NR2F1|CDKN1A|SCG2|PRDX2|CTNNB1|TXNIP|SOX9|HAND2|SOX2|TAL1|BDNF|TFAP2E|GAD1|ITGBL1|SRSF7|SRSF6|CALM2|FKBP5|ZNF385A|CCNE1|JUN|RB1|THBS1|GLI2|MAPK3|YWHAH|MAPK1|YWHAB|PSMA8|YWHAG|COX6C|NR3C1|NR4A1|DDIT4|FOS|NR4A3|RXRG|CAMK2A|CREB1|THRB|OPRM1|APOE|TP53INP1|SMARCD1|OPRK1|ZNF560|MOBP|GATA1|RSPO3|SOCS3|SGK1|ZNF735|CCND1|LMO1|PPP2CB|PLXNA4|MEF2C|CTGF|PITX2|NPY|CDK5|COL1A1|HIST3H2BB|PSMB4|COX1|PPP2R5C	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-73857
Generic Transcription Pathway	Reactome	R-HSA-212436	67	1193	4.97E-14	3.42E-12	CLDN5|TFAP2B|GRIA2|NR2F1|CDKN1A|SCG2|PRDX2|CTNNB1|TXNIP|SOX9|HAND2|SOX2|TAL1|BDNF|TFAP2E|GAD1|ITGBL1|APOE|CALM2|ZNF385A|CCNE1|JUN|RB1|THBS1|GLI2|MAPK3|YWHAH|MAPK1|YWHAB|PSMA8|YWHAG|COX6C|NR3C1|NR4A1|DDIT4|FOS|NR4A3|RXRG|CAMK2A|CREB1|THRB|OPRM1|FKBP5|TP53INP1|SMARCD1|OPRK1|ZNF560|MOBP|GATA1|RSPO3|SOCS3|SGK1|ZNF735|CCND1|LMO1|PPP2CB|PLXNA4|MEF2C|CTGF|PITX2|NPY|CDK5|COL1A1|HIST3H2BB|PSMB4|COX1|PPP2R5C	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-212436
G alpha (i) signalling events	Reactome	R-HSA-418594	63	405	2.52E-34	4.39E-31	NPY1R|APP|PLCB1|GNAO1|CCL21|CCR1|CCR3|CCR5|GABBR2|GNAI1|CNR1|PPP1R1B|CALM2|PDE1C|PDE1A|RXFP4|RGS4|PRKCA|PPBP|MAPK1|BCO2|CXCR4|CX3CL1|PENK|RGS9|CDK5|RGS16|FPR3|OPRK1|PDYN|GUCY2F|GNB5|CHRM4|GNB1|CAMK2A|CREB1|CHRM2|RGSL1|ADCY8|OPRM1|APOE|RBP2|PRKCG|PRKAR1B|MTNR1B|CXCL13|CXCL12|LRP2|BDKRB2|NPY5R|DRD4|PPP2CB|DRD2|DRD3|SSTR3|NPY|OPRD1|HTR1D|LPAR3|LPAR1|SDC2|HTR1B|PRKAR1A	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-418594
Innate Immune System	Reactome	R-HSA-168249	61	1043	1.35E-13	8.19E-12	BCL2L1|PTK2|EPX|FCN2|HLA-C|PRDX6|KRT1|NFKBIA|RAB6A|MAP2K1|CTNNB1|HSPA1B|HSPA1A|MAPK10|CCK|S100A1|TXNIP|MEF2C|CALM2|ASAH1|RAB31|C4BPB|JUN|LYZ|MAPK3|PPBP|MAPK1|CRISP3|CEACAM6|ATP6V1B2|DUSP6|C7|GAA|PKM|FCN3|CRISPLD2|HSPA8|PLPP4|FOS|PRKCE|CREB1|LTF|LAMP1|PGLYRP1|MUC5AC|PSMA8|MAPK9|UBE2M|RPS6KA5|MBP|SLC2A5|PPP2CB|ATP6V1E1|REG3A|ATP6V0A4|GSTP1|COLEC10|MPO|RNF125|PSMB4|APP	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-168249
Hemostasis	Reactome	R-HSA-109582	61	617	1.07E-23	2.43E-21	CAPZB|PTK2|APP|TIMP1|HBD|KIF26A|STXBP2|THBD|GNAI1|TUBA3C|TEK|CALM2|HSPA5|MAPK3|CLEC3B|TUBA1A|KCNMA1|CAP2|THBS1|PC|PPBP|MAPK1|CEACAM5|CLEC1B|CEACAM6|TF|GP5|TUBB2B|IGF2|MRVI1|GNB5|GNB1|GNA11|PRKCE|PRKCG|SPARC|VEGFD|PRKCZ|PRKCA|PRKAR1A|PRKAR1B|TUBA4A|ISLR|GATA1|ACTN2|TUBAL3|GNAQ|FN1|SLC3A2|SDC2|PPP2CB|SLC7A10|SLC7A11|PCDH7|COL1A2|CDK5|MAG|COL1A1|SELP|PDE1A|PPP2R5C	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-109582
GPCR ligand binding	Reactome	R-HSA-500792	58	454	1.11E-27	3.63E-25	PTH1R|APP|TRH|CCR1|CCR3|CCR5|ADCYAP1|GPBAR1|UCN2|GABBR2|CXCL13|PDYN|CNR1|FZD9|RXFP4|PPBP|HTR2A|CXCR4|CX3CL1|GRM5|PENK|CALCR|KISS1R|FPR3|OPRK1|LHB|GNB5|MLN|CHRM4|GNB1|CHRM2|CRHBP|CCL21|OPRM1|CHRM1|LPAR3|MTNR1B|GRPR|GLP1R|CXCL12|TACR1|BDKRB2|NPY5R|WNT2|DRD4|NPY1R|DRD2|DRD3|SSTR3|NPY|OPRD1|TAC1|HTR1D|CALCA|LPAR1|QRFPR|HTR1B|WNT7B	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-500792
Neuronal System	Reactome	R-HSA-112316	58	402	3.76E-30	2.19E-27	SLC6A3|STX1A|SLC6A1|PRKAR1A|SLC6A4|GRIA2|GABRG2|HSPA8|KCNJ10|KCNK2|GABRB1|GABRA5|GABBR2|GAD1|GNAI1|PPFIA4|CALM2|NEFL|TUBA1A|NRGN|KCNMA1|NSF|NTRK3|MAPK3|MAPK1|KCNS2|GRM5|GRIN1|HOMER2|SLITRK6|PLCB1|KCND2|SLITRK1|GNB5|GNB1|CAMK2A|CREB1|CHRNA4|TUBA3C|PRKCA|PRKCG|PRKAR1B|TUBA4A|TUBB2B|ACTN2|TUBAL3|RASGRF1|RPS6KA6|KCNH2|HCN1|GRIK1|KCNJ9|ADCY8|GRIK5|GRIN2C|HTR3A|SYN2|SYN1	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-112316
Signaling by Receptor Tyrosine Kinases	Reactome	R-HSA-9006934	56	458	6.46E-26	1.69E-23	PTK2|COL11A1|GABRG2|LAMA2|CTNNB1|ADCYAP1|LAMC3|BDNF|THBS1|COL2A1|PRKCZ|MEF2C|APOE|CALM2|FGF2|THBS2|FGF19|NTRK2|NTRK3|MAPK3|SPARC|MAPK1|YWHAB|ATP6V1B2|DUSP6|GFAP|IGF2|IGF1R|NTF3|HSPB1|PRKCA|PRKCE|HGS|CREB1|VEGFD|CMA1|FLRT2|FGF7|GABRB1|CXCL12|FGF3|NRP1|PTPRU|RPS6KA5|FN1|PPP2CB|ATP6V1E1|ATP6V0A4|COL5A1|COL1A2|CDK5|CSN2|COL1A1|COL6A5|FGF23|COL6A6	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-9006934
PI3K-Akt signaling pathway	KEGG PATHWAY	hsa04151	56	354	5.68E-31	4.25E-28	BCL2L1|ITGA9|PTK2|TNXB|CDKN1A|LAMA2|MAP2K1|NGFR|COL6A6|BDNF|RPS6KB2|COL2A1|TEK|CCNE1|THBS2|FGF19|NTRK2|THBS1|MAPK3|YWHAH|MAPK1|YWHAB|YWHAG|IGF2|ERBB3|IGF1R|NTF3|DDIT4|TNR|GNB5|NR4A1|GNB1|CHRM2|CREB1|VEGFD|PRKCA|CHRM1|FGF8|FGF7|LAMC3|FGF3|FGF2|SGK3|FN1|SGK1|CCND1|PPP2CB|IL6|GRB2|COL1A2|COL1A1|LPAR3|LPAR1|COL6A5|FGF23|PPP2R5C	http://www.genome.jp/kegg-bin/show_pathway?hsa04151/hsa:3164%09red/hsa:3569%09red/hsa:3481%09red/hsa:598%09red/hsa:2885%09red/hsa:4804%09red/hsa:3480%09red/hsa:5604%09red/hsa:4908%09red/hsa:1277%09red/hsa:54541%09red/hsa:2335%09red/hsa:23566%09red/hsa:1278%09red/hsa:8074%09red/hsa:7533%09red/hsa:7532%09red/hsa:627%09red/hsa:5516%09red/hsa:6199%09red/hsa:7057%09red/hsa:2253%09red/hsa:2252%09red/hsa:2277%09red/hsa:2065%09red/hsa:7143%09red/hsa:10319%09red/hsa:7010%09red/hsa:10681%09red/hsa:7058%09red/hsa:595%09red/hsa:7148%09red/hsa:4915%09red/hsa:5595%09red/hsa:5594%09red/hsa:5578%09red/hsa:2782%09red/hsa:23678%09red/hsa:898%09red/hsa:5747%09red/hsa:1128%09red/hsa:1129%09red/hsa:3908%09red/hsa:1026%09red/hsa:2248%09red/hsa:5527%09red/hsa:1280%09red/hsa:7529%09red/hsa:1385%09red/hsa:2247%09red/hsa:1902%09red/hsa:256076%09red/hsa:6446%09red/hsa:3680%09red/hsa:9965%09red/hsa:131873%09red
Neuroactive ligand-receptor interaction	KEGG PATHWAY	hsa04080	53	338	3.26E-29	1.42E-26	PTH1R|TRH|GRIA2|GABRG2|GABRG1|GRIK5|GABRA5|ADCYAP1|GABRB1|UCN2|GABBR2|PDYN|CNR1|TAC1|THRB|RXFP4|HTR2A|GLP1R|GRM5|GRIN1|PENK|KISS1R|NR3C1|FPR3|OPRK1|LHB|CHRM4|MLN|CHRM2|CHRM1|CHRNA4|OPRM1|LPAR3|MTNR1B|GRPR|TACR1|BDKRB2|NPY5R|GRIK1|DRD4|NPY1R|DRD2|DRD3|GLUD1|GRIN2C|SSTR3|NPY|OPRD1|HTR1D|CALCA|LPAR1|CALCR|HTR1B	http://www.genome.jp/kegg-bin/show_pathway?hsa04080/hsa:9568%09red/hsa:1268%09red/hsa:3972%09red/hsa:2908%09red/hsa:2905%09red/hsa:1137%09red/hsa:5745%09red/hsa:2901%09red/hsa:624%09red/hsa:1132%09red/hsa:1813%09red/hsa:2925%09red/hsa:1814%09red/hsa:1815%09red/hsa:7200%09red/hsa:2740%09red/hsa:2359%09red/hsa:3351%09red/hsa:4544%09red/hsa:5179%09red/hsa:3356%09red/hsa:23566%09red/hsa:2902%09red/hsa:5173%09red/hsa:4852%09red/hsa:2566%09red/hsa:2565%09red/hsa:6869%09red/hsa:2560%09red/hsa:2897%09red/hsa:6863%09red/hsa:339403%09red/hsa:2894%09red/hsa:2891%09red/hsa:84634%09red/hsa:1128%09red/hsa:1129%09red/hsa:10911%09red/hsa:4295%09red/hsa:3352%09red/hsa:2915%09red/hsa:6753%09red/hsa:7068%09red/hsa:4988%09red/hsa:799%09red/hsa:4986%09red/hsa:4985%09red/hsa:796%09red/hsa:1902%09red/hsa:4886%09red/hsa:2558%09red/hsa:116%09red/hsa:4889%09red
